55,idi-oro,mushin,6.5239452,3.3625889,ChIJx8rQNkuMOxARuy0H5fsuVSo
56,ilasa,mushin,6.522342699999999,3.3357429,ChIJI9ga5ICOOxARLoFl5JAo-RY
57,iyana isolo,mushin,6.531492,3.3359385,ChIJ4a4CGXmOOxARV_D_dTtSGE0
58,ladipo,mushin,6.5716436,3.3450902,ChIJVVO_vQaSOxARTomvpq3wVl4
59,moshalasi,mushin,6.4554155,3.3404996,ChIJVdytzNiLOxARJXz4y3Gcmxs
60,mushin,mushin,6.5298744,3.3534721,ChIJGwWeAsyNOxARofhNbapiAHE
61,olosha,mushin,6.5265114,3.3579996,ChIJt3N2ksqNOxARVuloFL9iQtI
62,olorunsogo,mushin,6.535030799999999,3.3526111,ChIJeyb5YM-NOxARlbb2ItV9DJM
63,toyota,mushin,6.5452235,3.3379582,ChIJnwbhRXWOOxARXrw6mnOR1v4
64,jibowu,somolu,6.5191325,3.3680713,ChIJJRQyCk6MOxAR5b1DgiCWh48
65,fadeyi,somolu,6.5250325,3.3676847,ChIJa743z7KNOxARJrdDVyDwsGo
66,onipanu,somolu,6.5329492,3.367491,ChIJMVpLTrCNOxAR27NiH0-IBoA
67,palmgrove,somolu,6.5416075,3.3674008,ChIJv7r4kryNOxARBGdgkk9n4Zs
68,obanikoro,somolu,6.546859599999999,3.3667785,ChIJo5qhy5eNOxARVyONC2WWmy0
69,anthony,somolu,6.5571937,3.3668964,ChIJoY3DzY-NOxARNiIFet66ixQ
70,ikeja along,ikeja,6.5993865,3.3431455,ChIJ75GqpyiSOxARSpgCTsLLtLs
71,ikeja plaza roundabout,ikeja,6.530602,3.32575,ChIJD1PtemSOOxARwP_68JfGZPs
72,bus garage,ikeja,6.5960795,3.337856,ChIJCV77y4mROxAR2AO5zUXn8oI
73,ikeja,ikeja,6.5993865,3.3431455,ChIJ75GqpyiSOxARSpgCTsLLtLs
74,balogun,ikeja,6.6040012,3.3455515,ChIJUYE6mi6SOxAR_N48tjQII1E
75,allen,ikeja,6.606655,3.3487219,ChIJQ7Jnhi2SOxARSMgfKFlnQD0
76,aromire,ikeja,6.6077447,3.3485609,ChIJFbATey2SOxARjO52qjXSuJg
77,alade,ikeja,6.605224199999999,3.3498967,ChIJawuyEDKSOxARlNjRNM-R4sA
78,ladipo,ikeja,6.6001458,3.3526888,ChIJ8VoJljCSOxAREwWZyhU-bik
79,hospital,ikeja,6.5990348,3.3530188,ChIJbw8wCjqSOxARbJr9msCcJL0
80,oshopey,ikeja,6.5985232,3.3533138,ChIJxYjmDzqSOxARbJKuFIw4_8g
81,sensation,ikeja,6.5950434,3.3557519,ChIJUcILPTmSOxAREnpyJ6B469w
82,awosika,ikeja,6.5940922,3.3572513,ChIJ8VLDzTiSOxARHqBjq2guZYo
83,salvation,ikeja,6.5901568,3.3604217,ChIJpas6QkCSOxARjOn8UNCrV9M
84,junction,ikeja,6.606655,3.3487219,ChIJQ7Jnhi2SOxARSMgfKFlnQD0
85,first gate,ikeja,6.5919553,3.348738,ChIJle9AMiOSOxARQ8smcJInEPs
86,abule,ikeja,6.5870127,3.3570099,ChIJwWkkQG2SOxAR3_9I6AJ798M
87,base,ikeja,6.5751608,3.3341548,ChIJVbUtf_mROxAR5reNEmhGL_g
88,mmia,ikeja,6.632661499999999,3.3413029,ChIJJYa4X-CTOxARUAojNmWgrXA
89,airport,ikeja,6.5884981,3.3337592,ChIJve8NVfOROxAReW3v8p8ZMGw
90,kingsway,maryland,6.577201899999999,3.3609527,ChIJefs1hXKSOxARr51nApKjcws
91,leventis,maryland,6.5740577,3.3624548,ChIJZ3gTvHOSOxARqEHcKwStr5I
92,onigbongbo,maryland,6.572570799999999,3.3655661,ChIJB230NHGSOxARL1FKHMS5cSc
93,bus stop,maryland,38.9790317,-76.5548216,ChIJ_wiMcTzxt4kRyGwYpwtnlnM
94,radio,ikeja,6.612801699999999,3.3542284,ChIJ7Ts0gcuTOxARhjLisnUT1YM
95,elephant,ikeja,6.6153675,3.3570904,ChIJg-o-hsmTOxARZq6aCaJKlZQ
96,alausa,ikeja,6.6090849,3.3566102,ChIJi_bCJzWSOxARdprbNEA9fdo
97,kara,ikeja,6.6134096,3.3677886,EihMYWdvcyBJYmFkYW4gRXhwcmVzcyBXYXksIElrZWphLCBOaWdlcmlh
98,berger,ikeja,6.6398443,3.3678943,ChIJA_ckaJCTOxARzUDI2Pykywg
