ketu,TR,ketu
cms,TE,cms
sandfill,TR,sandfill
elf,TR,elf
chisco,TR,chisco
salem,TR,salem
agungi,TR,agungi
chevron,TR,chevron
eleganza shopping complex,TR,eleganza
ajah,TE,ajah
sandfill,TR,sandfill
obalende,TE,obalende
sandfill,TR,sandfill
cms,TE,cms
sandfill,TR,sandfill
cms,TR,cms
oshodi,TE,oshopey
ketu,TR,ketu
owode,TR,owode
irawo,TR,irawo
police post,TR,police post
ogolonto,TR,ogolonto
oja,TR,oja
haruna,TR,haruna
tos benson,TR,tos benson
maza maza,TR,maza maza
agboju,TR,agboju
oluti,TR,oluti
dantata,TR,dantata
trade fair,TR,trade fair
onireke,TR,onireke
volks,TR,volks
ppl,TR,ppl
okokomaiko,TR,okokomaiko
agbara,TR,agbara
magbon,TR,magbon
maza maza,TR,maza maza
agboju,TR,agboju
oluti,TR,oluti
dantata,TR,dantata
trade fair,TR,trade fair
onireke,TR,onireke
volks,TR,volks
ppl,TR,ppl
okokomaiko,TR,okokomaiko
agbara,TR,agbara
magbon,TR,magbon
empire,TR,empire bus stop
idi-oro,TR,idi-oro
olosha,TR,olosha
mushin,TR,mushin
ojuelegba,TE,ojuelegba bus station
empire,TR,empire bus stop
idi-oro,TR,idi-oro
mushin,TE,mushin
mushin,TE,mushin
idi-oro,TR,idi-oro
empire,TR,empire bus stop
ojuelegba,TR,ojuelegba bus station
stadium,TR,stadium
obalende,TE,obalende
obalende,TE,obalende
obalende,TE,obalende
olowu,TR,olosha
onyingbo,TE,onigbongbo
onyingbo,TE,onigbongbo
church,TR,church
lawanson,TE,lawanson
lawanson,TE,lawanson
balogun,TR,balogun
allen,TR,allen
ajayi farm,TR,ajayi farm
mangoro,TR,mangoro
cement,TR,cement
shasha,TR,masha
vulcanizer,TR,vulcaniser
ajayi farm,TR,ajayi farm
mangoro,TR,mangoro
cement,TR,cement
shasha,TE,masha
oja,TR,oja
banire,TR,bank
olorun adaba,TR,olorunsogo
church,TR,church
oja,TR,oja
odo eran,TR,odo eran
idowu egba,TR,idowu street
olorunfemi,TR,olorunsogo
ajakeye,TR,ajah
ajakeye,TR,ajah
ajakeye,TR,ajah
olorunfemi,TR,olorunsogo
idowu egba,TR,idowu street
odo eran,TR,odo eran
oja,TR,oja
banire,TR,bank
olorun adaba,TR,olorunsogo
church,TR,church
ajakeye,TR,ajah
olorunfemi,TR,olorunsogo
idowu egba,TR,idowu street
odo eran,TR,odo eran
ajakeye,TR,ajah
olorunfemi,TR,olorunsogo
oloye,TR,olosha
ajakeye,TR,ajah
olorunfemi,TR,olorunsogo
idowu egba,TR,idowu street
odo eran,TR,odo eran
oja,TR,oja
vulcanizer,TR,vulcaniser
shasha,TR,masha
cement,TR,cement
mangoro,TR,mangoro
ajayi farm,TR,ajayi farm
ppl,TR,ppl
okokomaiko,TR,okokomaiko
agbara,TR,agbara
magbon,TR,magbon
ppl,TR,ppl
okokomaiko,TR,okokomaiko
agbara,TR,agbara
magbon,TR,magbon
ppl,TR,ppl
okokomaiko,TR,okokomaiko
agbara,TE,agbara
ile ibadan,TE,ile-iwe
nepa,TR,nepa
bank,TR,bank
isherin oshun,TR,abule-oshun
isherin oshun,TR,abule-oshun
jakande,TE,jakande
isherin oshun,TR,abule-oshun
jakande,TR,jakande
gideon,TR,gideon
oja,TR,oja
chemist,TR,chemist
lasu,TR,lasu
synagogue,TR,synagogue
hostel,TR,eko hotel
nepa,TR,nepa
nnpc,TR,nnpc
jakande,TR,jakande
7/8,TR,7/8
charity,TR,charity
oshodi,TR,oshopey
cms,TR,cms
obalende,TE,obalende
synagogue,TR,synagogue
hostel,TR,eko hotel
nepa,TR,nepa
nnpc,TR,nnpc
jakande,TR,jakande
church,TR,church
olorun adaba,TR,olorunsogo
banire,TR,bank
oja,TR,oja
synagogue,TR,synagogue
hostel,TR,eko hotel
