cosmic,TR,cosmic,905
elephant,TR,"elephant,736"
alausa,TR,"alausa,737"
kara,TR,kara,906
ojodu/berger,TE,"ojodu/berger,738"
allen,TE,"allen,716"
obalende,TE,"obalende,805"
allen,TE,"allen,716"
testing ground,TR,testing ground,904
cosmic,TR,cosmic,905
elephant,TR,"elephant,736"
alausa,TR,"alausa,737"
secretariat,TR,secretariat,907
lands,TE,lands,908
allen,TE,"allen,716"
alade,TR,"alade,718"
ladipo,TR,"ladipo,719"
hospital,TR,"hospital,720"
oshopey,TR,"oshopey,721"
plaza,TR,"plaza 307,824"
sensation,TR,"sensation,722"
awosika,TR,"awosika,723"
salvation,TR,"salvation,724"
junction opebi,TR,"junction opebi,891"
kingsway,TR,"kingsway,731"
leventis,TR,"leventis,732"
onigbongbo,TR,"onigbongbo,733"
maryland,TR,"maryland,744"
idiroko,TR,"idiroko,783"
anthony,TR,"anthony,710"
obanikoro,TR,"obanikoro,709"
palmgrove,TR,"palmgrove,708"
onipanu,TR,"onipanu,707"
fadeyi,TR,"fadeyi,706"
jibowu,TR,"jibowu,705"
yaba,TE,"yaba,858"
allen,TE,"allen,716"
alade,TR,"alade,718"
ladipo,TR,"ladipo,719"
hospital,TR,"hospital,720"
oshopey,TR,"oshopey,721"
plaza,TR,"plaza 307,824"
sensation,TR,"sensation,722"
awosika,TR,"awosika,723"
salvation,TR,"salvation,724"
junction,TR,"junction,891"
kingsway,TR,"kingsway,731"
leventis,TR,"leventis,732"
onigbongbo,TR,"onigbongbo,733"
maryland,TR,"maryland,744"
idiroko,TR,"idiroko,783"
anthony,TR,"anthony,710"
obanikoro,TR,"obanikoro,709"
palmgrove,TR,"palmgrove,708"
onipanu,TR,"onipanu,707"
fadeyi,TR,"fadeyi,706"
jibowu,TR,"jibowu,705"
ojuelegba bus station,TE,"ojuelegba bus station,664"
ikeja bridge,TE,"ikeja bridge,856"
wahum,TR,"wahum,743"
aba johnson,TR,"aba johnson,745"
vintage,TR,"vintage,747"
vulcaniser,TR,"vulcaniser,748"
first gate,TR,"first gate,726"
ogba,TE,"ogba,749"
ikeja bridge,TE,"ikeja bridge,856"
ikeja,TR,"ikeja,714"
balogun,TR,"balogun,715"
allen,TR,"allen,716"
testing ground,TR,testing ground,904
cosmic,TR,cosmic,905
elephant,TR,"elephant,736"
alausa,TR,"alausa,737"
secretariat,TR,secretariat,907
lands,TE,lands,908
iyana itire,TE,"iyana itire,857"
itire road junction,TR,"itire Rd Junction,655"
lawanson,TE,"lawanson,657"
lawanson,TE,"lawanson,657"
ogunlana,TR,"ogunlana,663"
municipal,TR,"municipal,660"
ojuelegba bus station,TR,"ojuelegba bus station,664"
yaba,TE,"yaba,858"
lawanson,TE,"lawanson,657"
ogunlana,TR,"ogunlana,663"
municipal,TR,"municipal,660"
ojuelegba bus station,TE,"ojuelegba bus station,664"
lawanson,TE,"lawanson,657"
ogunlana,TR,"ogunlana,663"
marsha,TR,"masha,658"
shita,TR,"shita,670"
stadium,TR,"stadium,671"
alaka,TR,"alaka,646"
costain,TR,costain,901
leventis,TR,"leventis,802"
cms,TE,"cms,803"
lawanson,TE,"lawanson,657"
ogunlana,TR,"ogunlana,663"
marsha,TR,"masha,658"
shita,TR,"shita,670"
stadium,TR,"stadium,671"
alaka,TR,"alaka,646"
costain,TE,costain,901
lawanson,TE,"lawanson,657"
itire road junction,TR,"itire Rd Junction,655"
odo,TE,"odo eran,751"
lawanson,TE,"lawanson,657"
okota link bridge,TR,"okota link bridge,666"
cele express,TE,"cele express,648"
cele express,TE,"cele express,648"
lasu,TR,"lasu,683"
ago junction,TR,ago junction,909
ago roundabout,TR,"ago roundabout,673"
barracks,TR,"barracks,677"
chemist,TR,"chemist,678"
gideon,TR,"gideon,680"
pako,TR,"pako,688"
oke afa,TR,"oke afa,686"
